Designator,Mid X,Mid Y,Rotation,Layer
C1,58.35,-48.027401,270.0,top
J1,84.3,-50.9,0.0,top
J2,84.3,-42.25,0.0,top
J3,53.05,-47.795,0.0,top
J4,84.3,-34.895,0.0,top
J5,55.9,-54.2,90.0,top
J6,55.89,-33.85,270.0,top
J7,55.9,-41.45,270.0,top
U1,70.9,-41.94,0.0,top
